Performance Statistics   2018-06-14 18:00:00 - 2018-06-14 18:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                        40,0          40          40         0,0           1
loginWindow#inject                                      27,0          27          27         0,0           1
loginWindow#load                                       465,0         465         465         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                2,0           2           2         0,0           1
loginWindow#xml                                         20,0          20          20         0,0           1
mainWindow#init                                         32,0          32          32         0,0           1
mainWindow#inject                                       28,0          28          28         0,0           1
mainWindow#load                                        316,0         316         316         0,0           1
mainWindow#ready                                         8,0           8           8         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           5,0           5           5         0,0           1
skillguard$Employee.browse#init                          8,0           8           8         0,0           1
skillguard$Employee.browse#inject                        4,0           4           4         0,0           1
skillguard$Employee.browse#load                        894,0         894         894         0,0           1
skillguard$Employee.browse#ready                         0,0           0           0         0,0           1
skillguard$Employee.browse#uiPermissions                 0,0           0           0         0,0           1
skillguard$Employee.browse#xml                          12,0          12          12         0,0           1
skillguard$Employee.browse@departmentsDs                39,5          30          49         9,5           2
skillguard$Employee.browse@employeesDs                 302,0         302         302         0,0           1

Performance Statistics   2018-06-14 18:02:00 - 2018-06-14 18:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$User.browse#init                                     8,0           8           8         0,0           1
sec$User.browse#inject                                   3,0           3           3         0,0           1
sec$User.browse#load                                   113,0         113         113         0,0           1
sec$User.browse#ready                                    0,0           0           0         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      4,0           4           4         0,0           1
sec$User.browse@usersDs                                 52,0          52          52         0,0           1
sec$User.edit#companion                                  6,0           6           6         0,0           1
sec$User.edit#init                                      64,0          64          64         0,0           1
sec$User.edit#inject                                     2,0           0           4         2,0           2
sec$User.edit#load                                     131,0         131         131         0,0           1
sec$User.edit#ready                                      0,0           0           0         0,0           1
sec$User.edit#setItem                                   63,0          63          63         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        8,0           8           8         0,0           1
sec$User.edit.windowActions#load                         4,0           4           4         0,0           1
windowActions#xml                                        2,0           2           2         0,0           1

Performance Statistics   2018-06-14 18:04:00 - 2018-06-14 18:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$User.edit#companion                                  1,0           1           1         0,0           1
sec$User.edit#init                                       8,0           8           8         0,0           1
sec$User.edit#inject                                     1,5           0           3         1,5           2
sec$User.edit#load                                      39,0          39          39         0,0           1
sec$User.edit#ready                                      0,0           0           0         0,0           1
sec$User.edit#setItem                                   49,0          49          49         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        2,0           2           2         0,0           1
sec$User.edit.windowActions#load                         0,0           0           0         0,0           1
windowActions#xml                                        1,0           1           1         0,0           1

Performance Statistics   2018-06-14 18:06:00 - 2018-06-14 18:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                         0,0           0           0         0,0           1
loginWindow#inject                                       0,0           0           0         0,0           1
loginWindow#load                                         9,0           9           9         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          3,0           3           3         0,0           1
mainWindow#init                                          0,0           0           0         0,0           1
mainWindow#inject                                        0,0           0           0         0,0           1
mainWindow#load                                         14,0          14          14         0,0           1
mainWindow#ready                                         9,0           9           9         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           4,0           4           4         0,0           1
sec$User.browse#init                                     0,0           0           0         0,0           1
sec$User.browse#inject                                   0,0           0           0         0,0           1
sec$User.browse#load                                     9,0           9           9         0,0           1
sec$User.browse#ready                                    0,0           0           0         0,0           1
sec$User.browse#uiPermissions                            0,0           0           0         0,0           1
sec$User.browse#xml                                      1,0           1           1         0,0           1
sec$User.browse@usersDs                                 23,0          23          23         0,0           1
sec$User.edit#companion                                  1,0           1           1         0,0           1
sec$User.edit#init                                       7,0           7           7         0,0           1
sec$User.edit#inject                                     1,5           0           3         1,5           2
sec$User.edit#load                                      19,0          19          19         0,0           1
sec$User.edit#ready                                      0,0           0           0         0,0           1
sec$User.edit#setItem                                   55,0          55          55         0,0           1
sec$User.edit#uiPermissions                              0,0           0           0         0,0           1
sec$User.edit#xml                                        1,0           1           1         0,0           1
sec$User.edit.windowActions#load                         0,0           0           0         0,0           1
windowActions#xml                                        1,0           1           1         0,0           1

Performance Statistics   2018-06-14 18:08:00 - 2018-06-14 18:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
lookupWindowActions#inject                               0,0           0           0         0,0           2
lookupWindowActions#load                                 5,0           3           7         2,0           2
lookupWindowActions#xml                                  2,0           2           2         0,0           2
skillguard$Department.browse#init                        0,0           0           0         0,0           1
skillguard$Department.browse#inject                      0,0           0           0         0,0           1
skillguard$Department.browse#load                       93,0          93          93         0,0           1
skillguard$Department.browse#ready                       0,0           0           0         0,0           1
skillguard$Department.browse#uiPermissions               0,0           0           0         0,0           1
skillguard$Department.browse#xml                        14,0          14          14         0,0           1
skillguard$Department.browse@departmentsDs              31,0          31          31         0,0           1
skillguard$Department.browse@parentDepartmentsDs        11,0          10          12         1,0           2
skillguard$Employee.browse#init                          0,0           0           0         0,0           2
skillguard$Employee.browse#inject                        1,0           0           2         1,0           2
skillguard$Employee.browse#load                         24,0          15          33         9,0           2
skillguard$Employee.browse#ready                         0,0           0           0         0,0           2
skillguard$Employee.browse#uiPermissions                 0,0           0           0         0,0           2
skillguard$Employee.browse#xml                           0,5           0           1         0,5           2
skillguard$Employee.browse@departmentsDs                10,5          10          11         0,5           2
skillguard$Employee.browse@employeesDs                  15,0          13          17         2,0           2

Performance Statistics   2018-06-14 18:10:00 - 2018-06-14 18:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
skillguard$Department.browse@departmentsDs              21,0          21          21         0,0           1
skillguard$Department.browse@parentDepartmentsDs         8,5           8           9         0,5           2

Performance Statistics   2018-06-14 18:12:00 - 2018-06-14 18:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                        19,0          19          19         0,0           1
loginWindow#inject                                      19,0          19          19         0,0           1
loginWindow#load                                       498,0         498         498         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                2,0           2           2         0,0           1
loginWindow#xml                                         15,0          15          15         0,0           1
mainWindow#init                                         34,0          34          34         0,0           1
mainWindow#inject                                       15,0          15          15         0,0           1
mainWindow#load                                        287,0         287         287         0,0           1
mainWindow#ready                                        12,0          12          12         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           4,0           4           4         0,0           1
skillguard$Department.browse#init                       15,0          15          15         0,0           1
skillguard$Department.browse#inject                      4,0           4           4         0,0           1
skillguard$Department.browse#load                      881,0         881         881         0,0           1
skillguard$Department.browse#ready                       0,0           0           0         0,0           1
skillguard$Department.browse#uiPermissions               0,0           0           0         0,0           1
skillguard$Department.browse#xml                         6,0           6           6         0,0           1
skillguard$Department.browse@departmentsDs              42,0          42          42         0,0           1
skillguard$Department.browse@parentDepartmentsDs       114,7          13         287       122,5           3

Performance Statistics   2018-06-14 18:14:00 - 2018-06-14 18:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                         0,0           0           0         0,0           1
loginWindow#inject                                       1,0           1           1         0,0           1
loginWindow#load                                        12,0          12          12         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                          4,0           4           4         0,0           1
mainWindow#init                                          0,0           0           0         0,0           1
mainWindow#inject                                        0,0           0           0         0,0           1
mainWindow#load                                         13,0          13          13         0,0           1
mainWindow#ready                                         4,0           4           4         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           1,0           1           1         0,0           1
skillguard$Department.browse#init                        0,0           0           0         0,0           1
skillguard$Department.browse#inject                      0,0           0           0         0,0           1
skillguard$Department.browse#load                       24,0          24          24         0,0           1
skillguard$Department.browse#ready                       0,0           0           0         0,0           1
skillguard$Department.browse#uiPermissions               0,0           0           0         0,0           1
skillguard$Department.browse#xml                         1,0           1           1         0,0           1
skillguard$Department.browse@departmentsDs              18,5          18          19         0,5           2
skillguard$Department.browse@parentDepartmentsDs         9,0           6          12         3,0           2
skillguard$Department.edit#init                          0,0           0           0         0,0           1
skillguard$Department.edit#inject                        0,5           0           1         0,5           2
skillguard$Department.edit#load                         35,0          35          35         0,0           1
skillguard$Department.edit#ready                         0,0           0           0         0,0           1
skillguard$Department.edit#setItem                      44,0          44          44         0,0           1
skillguard$Department.edit#uiPermissions                 0,0           0           0         0,0           1
skillguard$Department.edit#xml                           2,0           2           2         0,0           1
skillguard$Department.edit.windowActions#load            4,0           4           4         0,0           1
skillguard$Department.edit@parentDepartmentsDs          13,0          13          13         0,0           1
skillguard$Employee.browse#init                          0,0           0           0         0,0           1
skillguard$Employee.browse#inject                        1,0           1           1         0,0           1
skillguard$Employee.browse#load                        118,0         118         118         0,0           1
skillguard$Employee.browse#ready                         0,0           0           0         0,0           1
skillguard$Employee.browse#uiPermissions                 0,0           0           0         0,0           1
skillguard$Employee.browse#xml                           7,0           7           7         0,0           1
skillguard$Employee.browse@departmentsDs                13,5          13          14         0,5           2
skillguard$Employee.browse@employeesDs                  19,0          19          19         0,0           1
windowActions#xml                                        2,0           2           2         0,0           1

Performance Statistics   2018-06-14 18:18:00 - 2018-06-14 18:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ddcdi$ImportConfiguration.browse#init                   21,0          21          21         0,0           1
ddcdi$ImportConfiguration.browse#inject                  0,0           0           0         0,0           1
ddcdi$ImportConfiguration.browse#load                  140,0         140         140         0,0           1
ddcdi$ImportConfiguration.browse#ready                   0,0           0           0         0,0           1
ddcdi$ImportConfiguration.browse#uiPermissions           0,0           0           0         0,0           1
ddcdi$ImportConfiguration.browse#xml                    12,0          12          12         0,0           1
ddcdi$ImportConfiguration.browse@importConfigurationsDs        76,0          76          76         0,0           1
ddcdi$ImportConfiguration.edit#init                      0,0           0           0         0,0           1
ddcdi$ImportConfiguration.edit#inject                    0,5           0           1         0,5           2
ddcdi$ImportConfiguration.edit#load                    304,0         304         304         0,0           1
ddcdi$ImportConfiguration.edit#ready                     0,0           0           0         0,0           1
ddcdi$ImportConfiguration.edit#setItem                 141,0         141         141         0,0           1
ddcdi$ImportConfiguration.edit#uiPermissions             0,0           0           0         0,0           1
ddcdi$ImportConfiguration.edit#xml                       3,0           3           3         0,0           1
ddcdi$ImportConfiguration.edit.windowActions#load         5,0           5           5         0,0           1
ddcdi$import-with-import-configuration-wizard#init       129,0         129         129         0,0           1
ddcdi$import-with-import-configuration-wizard#inject         2,0           2           2         0,0           1
ddcdi$import-with-import-configuration-wizard#load        81,0          81          81         0,0           1
ddcdi$import-with-import-configuration-wizard#ready         0,0           0           0         0,0           1
ddcdi$import-with-import-configuration-wizard#setItem        41,0          41          41         0,0           1
ddcdi$import-with-import-configuration-wizard#uiPermissions         0,0           0           0         0,0           1
ddcdi$import-with-import-configuration-wizard#xml         3,0           3           3         0,0           1
ddcdi$import-with-import-configuration-wizard@ds         0,0           0           0         0,0           1
loginWindow#init                                        21,0          21          21         0,0           1
loginWindow#inject                                      47,0          47          47         0,0           1
loginWindow#load                                       551,0         551         551         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                1,0           1           1         0,0           1
